row_id	orders	rider	cost
1061718	308	2255	1.4120999999999995
1062139	392	981	10.954000000000001
1068102	290	198	4.8680000000000021
1075978	489	1745	5.1019111111111117
1077250	281,622,1142,1230	869	15.91321111111111
1078055	906	2945	18.934000000000001
1079614	1198	3157	1.6870000000000003
1083623	225,1102	95	10.481999999999999
1084012	54,375,486,506	2326	8.1781000000000006
1086334	184,305,835	2329	11.874100000000002
1087188	213,768,1208	3483	20.7029
1087479	185	1188	6.2940000000000005
1091228	899	2682	0.53599999999999959
1091622	657,1130	2827	13.460000000000003
1099832	41	1467	2.2211831503947668
1102911	586,972	2456	7.8823999999999996
1104385	858	923	0.67399999999999949
1115325	447	2183	2.3225000000000002
1121824	450	2520	0.83000000000000007
1121871	456	2634	3.0579999999999998
1125193	1128	2131	1.4436111111111098
1128935	599	3086	8.0668069873997723
1130213	863	2925	13.696000000000002
1131788	231,838,954,1016	2494	17.168000000000003
1138249	1169	3057	2.3080000000000003
1140767	412	1518	6.2165444444444447
1143467	501,548,1029	2523	13.1264
1143840	1145,1224	2723	15.968000000000002
1149530	822	2106	12.060000000000002
1150417	987	2849	1.7379999999999995
1151850	165,172,428,1070	1160	25.139487786259544
1153315	717,1210	632	4.2599999999999998
1155683	741	2411	1.9499999999999993
1156003	803	1736	6.6952000000000016
1157066	124,868	1603	3.6939999999999991
1162694	856	2760	0.8019999999999996
1163639	788,991	248	15.156474603174603
1165811	216	2422	0.20800000000000018
1166689	406	1180	2.4233111111111114
1168070	677	3046	0.25600000000000023
1172427	521,690	3270	1.0825666666666669
1172591	377	3119	5.1559999999999997
1175967	1043	1169	3.012
1176784	1195	809	9.3940000000000001
1177558	128	818	0.96247777777777721
1183622	100	2600	5.4209627296587932
1184663	276	1990	2.5591222222222223
1186394	610	3345	4.2895137566137569
1186502	624	2672	0.37399887196841469
1188787	697,1191	1743	14.578000000000001
1189086	1136	2590	12.512
1189431	582,796,1069	15	8.4280000000000008
1201225	982	2176	1.4996222222222224
1205439	526	582	0.47209999999999774
1205999	620	1472	22.771999999999998
1208258	1031	517	2.2992111111111115
1209293	5	970	5.1941596687202036
1212987	675	1794	1.8741762509460531
1216262	38	2883	3.4599999999999995
