DATA rows=2995777 orders=1261 riders=3518 bundles=284650 load_sec=2.84584
BEST it=374 cost=5752.8555285862 artificial=0 nodes=383625 sec=30.71781301
BEST it=402 cost=5751.8172508085 artificial=0 nodes=393720 sec=32.300710252
BEST it=405 cost=5751.5050285862 artificial=0 nodes=394843 sec=32.404089202
BEST it=420 cost=5750.3050565432 artificial=0 nodes=399240 sec=33.198558584
BEST it=433 cost=5749.5692787654 artificial=0 nodes=399500 sec=33.536413097
BEST it=434 cost=5748.450034321 artificial=0 nodes=399670 sec=33.552169225
BEST it=446 cost=5747.240034321 artificial=0 nodes=404230 sec=34.173045546
BEST it=479 cost=5743.6154898766 artificial=0 nodes=413772 sec=37.1268918
PROGRESS it=500 cost=5743.6154898766 best=5743.6154898766 sec=38.80465124
BEST it=523 cost=5743.2565454321 artificial=0 nodes=432581 sec=39.117668478
BEST it=554 cost=5737.4681120988 artificial=0 nodes=447332 sec=41.242470487
BEST it=566 cost=5731.9774127159 artificial=0 nodes=454735 sec=41.795402526
BEST it=570 cost=5731.7534127159 artificial=0 nodes=454766 sec=41.903693315
BEST it=698 cost=5731.7294127159 artificial=0 nodes=518046 sec=50.572258608
PROGRESS it=1000 cost=5731.7294127159 best=5731.7294127159 sec=65.920760326
BEST it=1099 cost=5729.7949949992 artificial=0 nodes=683368 sec=71.778260064
PROGRESS it=1500 cost=5729.7949949992 best=5729.7949949992 sec=95.723783659
DONE cost=5729.7949949991662 artificial=0 iterations=1921 nodes=1035773 sec=120.48520851400001
